Burr_PD_L1_CMTM6_INFr_LFC	Freeman_B16F10_MHCI_Low_LFC	Freeman_B16F10_NK_LFC	Haney_U937_iggRBC_LFC	Haney_U937_Zymosin_LFC	Henriksson_mNaiveTh_GATA3_r1_LFC	Jiang_Daudi_B_CD40_r1_LFC	Kearney_B16F10_OT_I_LFC	Kearney_MC38_OT_I_aPD1_LFC	Kearney_MC38_OT_I_IgG_LFC	Liu_HSC4_DoxvsnoDox_shADAR_LFC	Manguso_GVAX_only_vs_TCRa_KO_LFC	Manguso_GVAX_PD_1_vs_TCRa_KO_LFC	Manguso_TCRa_KO_vs_In_vitro_LFC	Pan_B16F10_Pmel_1_IFNg_LFC	Parnas_BMDCs_TNF_r1_LFC	Pech_K562_MHCI_r1_LFC	Pech_K562_NK_92_r1_LFC	Ritchie_U937_cGAMP_r1_LFC	Shifrut_pilot_mean_LFC	Shifrut_d1234_LFC	Vredevoogd_IFNGR1mut_SKCM_MART_1_1r_LFC
C2ORF50	-7.8154	NA	NA	-0.37196	0.058601	NA	-0.55107	NA	NA	NA	0.1602	NA	NA	NA	NA	NA	0.11207	0.16852	NA	NA	0.0089294	0.22373
C2orf53	NA	0.8417	-2.0655	NA	NA	NA	NA	1.3853	-4.8865	-3.9206	NA	NA	NA	NA	-1.2154	NA	NA	NA	NA	NA	NA	NA
C2ORF53	-6.7554	NA	NA	0.036553	-0.061402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2641
C2ORF54	-7.7224	NA	NA	-0.1416	0.052675	NA	0.22739	NA	NA	NA	-0.31396	NA	NA	NA	NA	NA	-0.3595	0.13892	NA	NA	-0.056272	-0.44569
C2ORF57	-7.7911	NA	NA	0.18307	0.07461	NA	0.64184	NA	NA	NA	-0.25153	NA	NA	NA	NA	NA	-0.48795	0.14246	NA	NA	-0.018615	0.2275
C2orf61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.79544	NA	NA	NA	NA	NA	NA	NA
C2ORF61	-7.9036	NA	NA	0.16725	-0.057018	NA	-0.79831	NA	NA	NA	0.3572	NA	NA	NA	NA	NA	1.0085	-0.25843	NA	NA	-0.10838	-0.11627
C2ORF62	-7.0015	NA	NA	-0.03431	0.076839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.15772
C2ORF66	-6.8045	NA	NA	-0.044294	0.12657	NA	0.47067	NA	NA	NA	0.069108	NA	NA	NA	NA	NA	0.46088	0.033444	NA	NA	0.13844	-0.42205
C2ORF68	-7.2749	NA	NA	0.012678	0.1889	NA	-0.45956	NA	NA	NA	0.30864	NA	NA	NA	NA	NA	0.34965	-0.12333	NA	NA	0.41186	0.094535
C2ORF69	-7.6151	NA	NA	-0.1277	0.1091	NA	-0.60971	NA	NA	NA	-0.38481	NA	NA	NA	NA	NA	-0.60594	-0.48432	NA	NA	-0.22284	0.062166
C2ORF70	-7.8416	NA	NA	-0.19816	0.00066288	NA	-0.0049897	NA	NA	NA	0.056662	NA	NA	NA	NA	NA	-0.87616	-0.12582	NA	NA	-0.14918	-0.085652
C2orf71	NA	-1.4276	-1.1	NA	NA	1.0212	NA	-0.17235	-4.4083	-2.0747	NA	NA	NA	NA	-0.49539	1.3651	NA	NA	NA	NA	NA	NA
C2ORF71	-6.0689	NA	NA	-0.23581	0.0051713	NA	-0.27869	NA	NA	NA	0.43108	NA	NA	NA	NA	NA	1.4356	0.070601	NA	NA	-0.081061	0.025114
C2ORF72	-7.5717	NA	NA	-0.35774	0.030817	NA	-0.19572	NA	NA	NA	-0.111	NA	NA	NA	NA	NA	-0.033854	-0.12912	NA	NA	0.19106	-0.0011069
C2ORF73	-7.4794	NA	NA	0.047272	0.027467	NA	-0.041392	NA	NA	NA	0.80069	NA	NA	NA	NA	NA	0.11806	0.12367	NA	NA	0.089999	0.0032696
C2ORF74	-7.7163	NA	NA	-0.075759	0.11942	NA	NA	NA	NA	NA	0.25336	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.064298	NA
C2ORF76	-7.096	NA	NA	-0.00024971	-0.14298	NA	-0.095588	NA	NA	NA	0.74796	NA	NA	NA	NA	NA	-0.084415	0.15784	NA	NA	0.13821	-0.15837
C2ORF78	-7.1408	NA	NA	0.048289	-0.045296	NA	0.31807	NA	NA	NA	0.70929	NA	NA	NA	NA	NA	-1.09	0.10206	NA	NA	0.093683	-0.045739
C2ORF80	-7.323	NA	NA	0.13108	-0.0076945	NA	-0.55496	NA	NA	NA	-0.25932	NA	NA	NA	NA	NA	-0.45431	-0.84017	NA	NA	0.015665	0.29632
C2ORF81	-6.8153	NA	NA	-0.23461	0.026831	NA	NA	NA	NA	NA	0.61074	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.27847	NA
C2ORF82	-7.5665	NA	NA	0.24397	0.10153	NA	0.14557	NA	NA	NA	-0.44075	NA	NA	NA	NA	NA	-0.15604	-0.2442	NA	NA	-0.0042957	-0.026186
C2ORF83	-7.119	NA	NA	-0.088729	0.041766	NA	-0.24281	NA	NA	NA	-0.50655	NA	NA	NA	NA	NA	-0.396	-0.13559	NA	NA	0.1112	-0.28956
C2ORF88	-7.2827	NA	NA	0.43129	-0.11175	NA	0.36821	NA	NA	NA	0.030168	NA	NA	NA	NA	NA	0.32349	0.19712	NA	NA	0.14683	0.18709
C2ORF91	-7.6704	NA	NA	0.12036	0.010955	NA	0.021243	NA	NA	NA	1.0909	NA	NA	NA	NA	NA	0.034551	0.68318	NA	NA	-0.017454	-0.011854
C3	-7.6929	NA	NA	-0.0062099	0.012123	-1.2137	-0.047755	NA	NA	NA	0.18584	0.56417	0.56461	0.23581	NA	-1.8961	0.15291	-0.057379	NA	NA	-0.0042863	0.23299
C3AR1	-7.7376	-0.41607	1.7258	0.11082	0.071656	0.79914	-0.35576	-5.6494	-4.1759	1.0706	0.54865	NA	NA	NA	-2.6634	0.94999	0.83821	0.63225	NA	NA	0.19041	-0.0909
C3ORF14	-7.0224	NA	NA	-0.29043	0.041281	NA	1.1972	NA	NA	NA	-0.22753	NA	NA	NA	NA	NA	0.55224	0.29087	NA	NA	0.087265	-0.19704
C3orf17	NA	-3.8491	-5.8203	NA	NA	-0.057844	NA	-5.8697	-4.4892	-3.1595	NA	NA	NA	NA	0.13288	2.8364	NA	NA	NA	NA	NA	NA
C3ORF17	-6.0516	NA	NA	-0.1307	0.27037	NA	0.091165	NA	NA	NA	-0.89493	NA	NA	NA	NA	NA	-0.5642	-0.4946	NA	NA	-0.39192	-0.87794
C3ORF18	-7.5913	NA	NA	0.22361	0.17598	NA	-0.038752	NA	NA	NA	-0.17255	NA	NA	NA	NA	NA	0.57941	0.10674	NA	NA	0.14873	-0.070925
C3ORF20	-8.5039	NA	NA	-0.30756	-0.0083395	NA	-0.029753	NA	NA	NA	0.40006	NA	NA	NA	NA	NA	-0.025635	0.31036	NA	NA	0.25566	0.041308
C3orf22	NA	1.4359	-1.8229	NA	NA	-0.34497	NA	-6.7329	-4.8852	-0.71694	NA	NA	NA	NA	-0.86955	-2.3478	NA	NA	NA	NA	NA	NA
C3ORF22	-6.4267	NA	NA	0.20063	0.034771	NA	0.32288	NA	NA	NA	0.54583	NA	NA	NA	NA	NA	0.37614	-0.0037409	NA	NA	0.0089256	-0.2668
C3ORF27	-7.0144	NA	NA	-0.4339	0.068925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.081264
C3ORF30	-6.9344	NA	NA	0.0051331	0.088751	NA	-0.10916	NA	NA	NA	-0.36094	NA	NA	NA	NA	NA	-0.27148	0.58269	NA	NA	-0.0055426	-0.032689
C3ORF33	-7.9227	NA	NA	0.16956	0.020781	NA	0.0069429	NA	NA	NA	-0.63991	NA	NA	NA	NA	NA	0.96491	-0.79375	NA	NA	0.13143	0.015658
C3ORF35	-7.3299	NA	NA	-0.008677	0.16961	NA	0.25672	NA	NA	NA	-0.010394	NA	NA	NA	NA	NA	0.096168	0.68394	NA	NA	0.083816	0.010598
C3ORF36	-7.5629	NA	NA	0.023581	-0.040173	NA	-1.066	NA	NA	NA	-0.66511	NA	NA	NA	NA	NA	0.024175	-0.17919	NA	NA	0.049151	-0.48465
C3ORF37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5029
C3ORF38	-6.7823	NA	NA	0.1097	0.022793	NA	-0.082164	NA	NA	NA	-0.82604	NA	NA	NA	NA	NA	-0.44714	0.27078	NA	NA	-0.14907	0.0047044
C3ORF43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.041173
C3ORF49	-6.6069	NA	NA	-0.067678	-0.1473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C3orf52	NA	-0.85017	-1.1964	NA	NA	-0.050215	NA	-6.6311	-2.6177	1.6947	NA	NA	NA	NA	-1.1194	2.3082	NA	NA	NA	NA	NA	NA
C3ORF52	-6.9641	NA	NA	-0.12201	-0.018662	NA	0.19303	NA	NA	NA	-0.028631	NA	NA	NA	NA	NA	-0.0048521	0.28058	NA	NA	0.15399	0.052206
C3ORF55	-7.6605	NA	NA	-0.029873	-0.057814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.2384
C3ORF56	-6.6744	NA	NA	0.091804	0.036879	NA	0.039855	NA	NA	NA	0.35391	NA	NA	NA	NA	NA	-1.1656	-0.0075071	NA	NA	0.025812	NA
C3ORF58	-7.4011	NA	NA	0.14923	-0.10521	NA	-0.49598	NA	NA	NA	0.25827	NA	NA	NA	NA	NA	-0.18634	-0.056221	NA	NA	0.11327	-0.076428
C3ORF62	-7.0723	NA	NA	-0.56026	0.033565	NA	-1.8084	NA	NA	NA	0.0090145	NA	NA	NA	NA	NA	0.93677	0.089229	NA	NA	0.039861	-0.095483
C3ORF65	-7.6409	NA	NA	-0.19854	0.047558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C3ORF67	-6.4332	NA	NA	0.29362	0.038144	NA	0.25049	NA	NA	NA	0.069915	NA	NA	NA	NA	NA	-0.029154	0.45199	NA	NA	-0.0051136	-0.0077355
C3ORF70	-8.0438	NA	NA	0.11679	0.020815	NA	-0.4148	NA	NA	NA	-0.022396	NA	NA	NA	NA	NA	0.1151	0.16559	NA	NA	-0.13832	0.083153
C3ORF72	-7.8444	NA	NA	-0.31641	-0.089634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.063664
C3ORF79	-6.9582	NA	NA	-0.29927	-0.025451	NA	0.28471	NA	NA	NA	0.040742	NA	NA	NA	NA	NA	0.15055	-0.34267	NA	NA	0.14517	0.039399
C3ORF80	-7.8673	NA	NA	0.066841	-0.094587	NA	-0.019713	NA	NA	NA	-0.055944	NA	NA	NA	NA	NA	-0.3141	0.045028	NA	NA	0.15042	0.017395
C3orf83	NA	-1.875	0.69296	NA	NA	NA	NA	-6.1858	-0.44848	1.0225	NA	NA	NA	NA	0.025883	NA	NA	NA	NA	NA	NA	NA
C3ORF83	-7.0981	NA	NA	0.14365	0.0045947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C3orf84	NA	2.0529	0.086393	NA	NA	0.048887	NA	-3.9763	-5.1457	-1.0979	NA	NA	NA	NA	-0.42656	0.42374	NA	NA	NA	NA	NA	NA
C3ORF84	-7.4133	NA	NA	-0.31294	-0.072985	NA	-0.42749	NA	NA	NA	-0.16666	NA	NA	NA	NA	NA	0.43281	-0.036518	NA	NA	0.090057	NA
C4A	-7.6691	2.0297	4.9776	-0.15434	-0.13383	-0.6865	NA	-6.5652	-1.5557	-0.22873	0.20972	NA	NA	NA	0.32661	2.1854	0.14418	-0.34491	NA	NA	0.03658	-0.00017925
C4A;C4B	NA	NA	NA	NA	NA	NA	0.094067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C4B	-8.0362	NA	NA	0.089291	-0.06248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14418	-0.37542	NA	NA	0.17616	-0.059892
C4B_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.081415
C4BPA	-7.8579	NA	NA	0.048931	-0.14195	NA	-0.42635	NA	NA	NA	0.88835	NA	NA	NA	NA	NA	-0.048041	-0.32847	NA	NA	0.037769	-0.23722
C4BPB	-6.5116	NA	NA	0.04783	0.056387	NA	0.14993	NA	NA	NA	-0.48659	NA	NA	NA	NA	NA	0.19401	-0.57894	NA	NA	0.012351	-0.19517
C4ORF17	-7.5692	NA	NA	-0.032794	-0.070212	NA	0.12219	NA	NA	NA	0.75788	NA	NA	NA	NA	NA	-0.52332	-0.4148	NA	NA	0.048358	-0.0029529
C4ORF19	-7.2406	NA	NA	-0.11699	0.012741	NA	0.28975	NA	NA	NA	-0.43089	NA	NA	NA	NA	NA	0.68314	0.17104	NA	NA	0.11301	0.33956
C4ORF21	-7.3475	NA	NA	0.033661	-0.066884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.025558
C4ORF22	-7.1697	NA	NA	0.097472	-0.0070037	NA	-0.22558	NA	NA	NA	0.41998	NA	NA	NA	NA	NA	-2.2725	0.1383	NA	NA	0.05728	0.16504
C4ORF26	-8.0251	NA	NA	0.33322	0.098223	NA	-0.34024	NA	NA	NA	0.28466	NA	NA	NA	NA	NA	-1.6016	-0.22754	NA	NA	-0.024075	-0.057368
C4ORF27	-7.4812	NA	NA	0.17539	0.031867	NA	0.39815	NA	NA	NA	0.6369	NA	NA	NA	NA	NA	0.90049	-0.18692	NA	NA	-0.012944	0.0019636
C4ORF29	-7.1001	NA	NA	0.076969	0.041275	NA	0.37911	NA	NA	NA	0.097109	NA	NA	NA	NA	NA	-3.7808	-0.12666	NA	NA	0.10886	0.19709
C4ORF3	-7.76	NA	NA	-0.13159	0.041145	NA	0.26554	NA	NA	NA	-0.072174	NA	NA	NA	NA	NA	-0.43566	0.22838	NA	NA	0.14726	-0.059704
C4ORF32	-7.4472	NA	NA	0.24069	0.064201	NA	0.087816	NA	NA	NA	-0.43462	NA	NA	NA	NA	NA	0.19847	-0.0021934	NA	NA	0.10189	0.16794
C4ORF33	-7.4003	NA	NA	0.14357	-0.029979	NA	0.11972	NA	NA	NA	-0.24636	NA	NA	NA	NA	NA	-1.1939	0.15004	NA	NA	-0.44076	-0.088939
C4ORF36	-7.0215	NA	NA	-0.070077	-0.094799	NA	-0.079221	NA	NA	NA	0.042907	NA	NA	NA	NA	NA	-4.1825	0.27632	NA	NA	0.069431	0.20675
C4ORF40	-7.6185	NA	NA	0.007047	-0.058044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.019648
C4ORF45	-7.9571	NA	NA	0.14566	-0.045771	NA	0.21716	NA	NA	NA	-0.23857	NA	NA	NA	NA	NA	-1.6745	-0.15801	NA	NA	-0.10717	-0.11495
C4ORF46	-7.5401	NA	NA	-0.17134	0.067337	NA	-0.37028	NA	NA	NA	-0.046079	NA	NA	NA	NA	NA	-0.29044	-0.09326	NA	NA	-0.11389	0.14678
C4ORF47	-7.4474	NA	NA	-0.13373	0.086829	NA	0.25029	NA	NA	NA	-0.45066	NA	NA	NA	NA	NA	-0.50045	-0.19793	NA	NA	-0.047095	-0.19219
C4ORF48	-7.6108	NA	NA	0.16372	-0.037313	NA	0.21705	NA	NA	NA	-0.36395	NA	NA	NA	NA	NA	-0.46994	-0.10302	NA	NA	0.22583	0.18156
C4ORF50	-7.4794	NA	NA	-0.10352	0.055365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C4ORF51	-7.046	NA	NA	0.028888	-0.075245	NA	0.053677	NA	NA	NA	-0.21214	NA	NA	NA	NA	NA	-0.19113	-0.18215	NA	NA	-0.0070925	-0.2892
C4ORF6	-7.8966	NA	NA	-0.041507	-0.03283	NA	NA	NA	NA	NA	-0.29784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.16061
C5	-7.4924	NA	NA	-0.21998	-0.017853	NA	-0.25038	NA	NA	NA	0.53161	NA	NA	NA	NA	NA	-0.46822	0.090642	NA	NA	0.1744	-0.17832
C5AR1	-7.9423	-3.2065	-0.45434	0.17471	-0.0016239	-1.2602	-0.16577	-6.7791	-2.8688	-1.8453	0.28168	NA	NA	NA	-0.25422	-0.20525	-0.38819	-1.1418	NA	0.0854	0.042999	-0.025069
C5AR2	-8.1743	-1.0079	-0.40336	0.09831	0.02754	0.64204	0.49008	-3.573	-2.8996	1.8691	-0.0776	NA	NA	NA	-1.335	-0.86119	-0.024568	0.19135	NA	NA	0.10177	-0.083309
C5ORF15	-7.6532	NA	NA	0.093039	-0.11363	NA	-0.093068	NA	NA	NA	0.23918	NA	NA	NA	NA	NA	0.082633	-0.59227	NA	NA	0.102	-0.31414
C5ORF17	-7.4226	NA	NA	-0.050611	-0.014396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C5ORF20	-7.2992	NA	NA	-0.15916	-0.12273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.14279
C5ORF22	-6.9817	NA	NA	-0.1188	0.0083209	NA	0.26928	NA	NA	NA	0.16943	NA	NA	NA	NA	NA	0.19432	0.13816	NA	NA	-0.065984	-0.14299
C5ORF24	-8.0347	NA	NA	0.023103	0.041253	NA	0.37529	NA	NA	NA	-0.050624	NA	NA	NA	NA	NA	-0.014946	-0.18517	NA	NA	0.21189	-0.093347
C5ORF27	-7.9429	NA	NA	-0.19878	0.011588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C5ORF28	-7.2783	NA	NA	0.13001	0.066017	NA	0.6941	NA	NA	NA	-0.24092	NA	NA	NA	NA	NA	0.88671	-0.37926	NA	NA	0.082072	-0.14964
C5ORF30	-7.0982	NA	NA	0.010966	-0.0046554	NA	0.63344	NA	NA	NA	0.23913	NA	NA	NA	NA	NA	0.17432	-0.68652	NA	NA	-0.13236	-0.013725
C5ORF34	-7.1604	NA	NA	-0.042909	0.025482	NA	0.32388	NA	NA	NA	-0.5974	NA	NA	NA	NA	NA	0.41467	0.091622	NA	NA	-0.094315	-0.20046
C5ORF38	-7.1236	NA	NA	-0.14003	-0.019358	NA	0.38777	NA	NA	NA	-0.22032	NA	NA	NA	NA	NA	-0.03718	0.66993	NA	NA	-0.048596	-0.32962
C5ORF42	-6.8066	NA	NA	0.25455	-0.0088856	NA	0.83918	NA	NA	NA	-0.01122	NA	NA	NA	NA	NA	0.44547	0.14191	NA	NA	0.04325	0.029132
C5orf45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.0781	NA	NA	NA	NA	NA	NA	NA
C5ORF45	-7.3579	NA	NA	0.08681	0.02928	NA	0.25259	NA	NA	NA	-0.49181	NA	NA	NA	NA	NA	0.4359	-0.3158	NA	NA	-0.099078	0.13116
C5ORF46	-7.6662	NA	NA	0.0014994	-0.02396	NA	-0.16438	NA	NA	NA	-0.7756	NA	NA	NA	NA	NA	-0.23222	0.22963	NA	NA	0.13198	-0.020473
C5ORF47	-8.3809	NA	NA	-0.093042	-0.0061658	NA	-0.97718	NA	NA	NA	-0.20642	NA	NA	NA	NA	NA	-0.25064	-0.32771	NA	NA	0.13957	0.31114
C5ORF48	-8.0012	NA	NA	0.32304	-0.070331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.062334
C5ORF49	-6.6628	NA	NA	-0.033462	0.055374	NA	-0.69933	NA	NA	NA	0.51073	NA	NA	NA	NA	NA	0.15278	0.070696	NA	NA	-0.03756	-0.35103
C5orf51	NA	-0.0060013	-1.4337	NA	NA	0.794	NA	-3.5946	-4.4547	-2.0068	NA	NA	NA	NA	-0.39344	1.1257	NA	NA	NA	NA	NA	NA
C5ORF51	-7.492	NA	NA	-0.10523	-0.076319	NA	0.4497	NA	NA	NA	-0.29973	NA	NA	NA	NA	NA	0.13558	0.48703	NA	NA	0.012174	-0.22228
C5ORF52	-7.4303	NA	NA	-0.27689	0.063067	NA	-0.2127	NA	NA	NA	-1.1913	NA	NA	NA	NA	NA	-0.54539	0.39525	NA	NA	0.13303	0.046584
C5ORF54	-7.2871	NA	NA	0.13573	0.025157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.05168
C5ORF55	-7.7417	NA	NA	-0.22901	0.12961	NA	NA	NA	NA	NA	-0.0014421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.16433
C5ORF56	-7.789	NA	NA	0.085587	-0.017082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C5ORF58	-6.5341	NA	NA	0.070451	0.11031	NA	0.37232	NA	NA	NA	0.07692	NA	NA	NA	NA	NA	0.07631	0.14303	NA	NA	NA	-0.10387
C5ORF60	-7.8832	NA	NA	-0.13068	0.011359	NA	-0.31231	NA	NA	NA	0.50663	NA	NA	NA	NA	NA	0.23962	-0.89423	NA	NA	NA	-0.45962
C5ORF63	-6.9053	NA	NA	-0.057432	0.018562	NA	-0.03074	NA	NA	NA	-0.39511	NA	NA	NA	NA	NA	0.69769	0.48427	NA	NA	0.1193	-0.17663
C5ORF64	-7.2586	NA	NA	-0.26484	-0.0036048	NA	0.14534	NA	NA	NA	0.17942	NA	NA	NA	NA	NA	-0.89629	-0.46633	NA	NA	0.0099221	0.21277
C5ORF66	-7.472	NA	NA	0.19651	0.11536	NA	0.304	NA	NA	NA	-0.014937	NA	NA	NA	NA	NA	0.23968	0.22795	NA	NA	0.097404	NA
C5ORF67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.016881	NA
C6	-7.0438	NA	NA	0.24419	0.0095739	-0.32564	0.33362	NA	NA	NA	0.26305	NA	NA	NA	NA	3.5826	1.2022	0.30865	NA	NA	0.090122	0.0099644
C6ORF1	-6.9819	NA	NA	0.17765	0.029245	NA	0.26058	NA	NA	NA	0.10025	NA	NA	NA	NA	NA	0.31143	-0.19874	NA	NA	-0.088516	0.25515
C6ORF10	-7.1883	NA	NA	0.12032	-0.14427	NA	-0.45438	NA	NA	NA	-0.31137	NA	NA	NA	NA	NA	1.0787	-0.038317	NA	NA	0.1038	0.20697
C6ORF100	-7.4678	NA	NA	-0.26135	0.056235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C6ORF106	-7.2992	NA	NA	0.014169	-0.08508	NA	0.17281	NA	NA	NA	-0.31347	NA	NA	NA	NA	NA	-0.37634	-0.089908	NA	NA	-0.051389	-0.24935
C6ORF118	-7.8925	NA	NA	0.1176	0.024165	NA	0.2904	NA	NA	NA	-0.22548	NA	NA	NA	NA	NA	0.53968	-0.16499	NA	NA	-0.010057	0.031626
C6ORF120	-7.899	NA	NA	0.0089396	0.065946	NA	-0.14196	NA	NA	NA	0.10592	NA	NA	NA	NA	NA	-0.26846	0.23905	NA	NA	0.05525	-0.032069
C6ORF123	-8.2897	NA	NA	0.057147	-0.040842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C6orf132	NA	-3.2252	-0.38633	NA	NA	1.8282	NA	-6.4097	-2.8421	-4.188	NA	NA	NA	NA	-0.66272	-1.8745	NA	NA	NA	NA	NA	NA
C6ORF132	-6.6515	NA	NA	-0.19879	0.16525	NA	0.13354	NA	NA	NA	-0.10787	NA	NA	NA	NA	NA	0.35828	0.53395	NA	NA	0.05522	0.11641
C6ORF136	-7.0502	NA	NA	-0.030669	0.31463	NA	-0.16747	NA	NA	NA	-0.27365	NA	NA	NA	NA	NA	0.84075	-0.058924	NA	NA	0.082549	0.081803
C6ORF141	-7.5068	NA	NA	0.10046	0.16165	NA	0.22422	NA	NA	NA	0.32509	NA	NA	NA	NA	NA	0.54024	-0.38477	NA	NA	-0.14588	0.16041
C6ORF15	-7.2519	NA	NA	-0.033643	-0.18015	NA	-0.18511	NA	NA	NA	-0.5965	NA	NA	NA	NA	NA	0.56637	-0.2149	NA	NA	-0.044566	0.34031
C6ORF163	-7.412	NA	NA	0.1596	-0.037763	NA	0.3543	NA	NA	NA	0.564	NA	NA	NA	NA	NA	0.44289	0.026608	NA	NA	-0.0025788	0.18984
C6ORF164	-6.9005	NA	NA	0.067939	-0.14331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C6ORF165	-7.3317	NA	NA	-0.31318	0.15028	NA	-0.069805	NA	NA	NA	0.26298	NA	NA	NA	NA	NA	0.50223	0.62813	NA	NA	0.055927	0.1139
C6ORF183	-7.2436	NA	NA	0.067242	0.050797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C6ORF195	-7.3948	NA	NA	0.15809	0.12805	NA	NA	NA	NA	NA	-0.19916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.10826
C6ORF201	-7.3694	NA	NA	-0.12433	-0.037422	NA	0.24905	NA	NA	NA	-0.14294	NA	NA	NA	NA	NA	-0.1202	0.14017	NA	NA	0.075322	0.035448
C6ORF203	-7.5766	NA	NA	0.058849	0.091444	NA	0.35588	NA	NA	NA	0.12107	NA	NA	NA	NA	NA	-1.7272	0.25646	NA	NA	-0.0018382	-0.036179
C6ORF211	-7.7489	NA	NA	0.25365	-0.020001	NA	NA	NA	NA	NA	0.13576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07934
C6ORF222	-7.3609	NA	NA	-0.1017	0.005777	NA	-0.18726	NA	NA	NA	-0.61125	NA	NA	NA	NA	NA	0.1563	-0.013793	NA	NA	-0.074441	-0.28882
C6ORF223	-6.7483	NA	NA	0.0076778	0.044716	NA	-0.36772	NA	NA	NA	-0.32493	NA	NA	NA	NA	NA	-0.02349	0.2488	NA	NA	0.11693	-0.22399
C6ORF226	-7.83	NA	NA	-0.30549	0.070724	NA	-0.15714	NA	NA	NA	-0.14351	NA	NA	NA	NA	NA	0.52664	-0.30264	NA	NA	0.14382	0.28738
C6ORF229	-7.212	NA	NA	0.024073	-0.067543	NA	0.16988	NA	NA	NA	-0.22394	NA	NA	NA	NA	NA	1.0391	-0.18512	NA	NA	0.021945	NA
C6ORF25	-7.6583	NA	NA	-0.55123	-0.05514	NA	-0.081232	NA	NA	NA	0.25891	NA	NA	NA	NA	NA	0.087007	-0.077275	NA	NA	0.057144	0.01568
C6orf47	NA	-5.7005	0.030364	NA	NA	-1.9243	NA	-3.3551	-0.12357	0.29344	NA	NA	NA	NA	-0.44518	-3.9069	NA	NA	NA	NA	NA	NA
C6ORF47	-8.0563	NA	NA	-0.10129	0.08827	NA	0.53037	NA	NA	NA	0.24076	NA	NA	NA	NA	NA	-0.16671	-0.51813	NA	NA	-0.043087	-0.12588
C6ORF48	-6.8389	NA	NA	0.53795	0.070598	NA	0.73227	NA	NA	NA	0.52731	NA	NA	NA	NA	NA	1.0653	-0.6134	NA	NA	0.042925	-0.0075868
