Burr_PD_L1_CMTM6_INFr_RRAscore	Freeman_B16F10_MHCI_Low_RRAscore	Freeman_B16F10_NK_RRAscore	Haney_U937_iggRBC_RRAscore	Haney_U937_Zymosin_RRAscore	Henriksson_mNaiveTh_GATA3_r1_RRAscore	Jiang_Daudi_B_CD40_r1_RRAscore	Kearney_B16F10_OT_I_RRAscore	Kearney_MC38_OT_I_aPD1_RRAscore	Kearney_MC38_OT_I_IgG_RRAscore	Liu_HSC4_DoxvsnoDox_shADAR_RRAscore	Manguso_GVAX_only_vs_TCRa_KO_RRAscore	Manguso_GVAX_PD_1_vs_TCRa_KO_RRAscore	Manguso_TCRa_KO_vs_In_vitro_RRAscore	Pan_B16F10_Pmel_1_IFNg_RRAscore	Parnas_BMDCs_TNF_r1_RRAscore	Pech_K562_MHCI_r1_RRAscore	Pech_K562_NK_92_r1_RRAscore	Ritchie_U937_cGAMP_r1_RRAscore	Shifrut_pilot_mean_RRAscore	Shifrut_d1234_RRAscore	Vredevoogd_IFNGR1mut_SKCM_MART_1_1r_RRAscore
EPS8L1	0.017272	0.058901	0.27441	0.036447	0.94921	0.58588	0.75914	0.34358	0.66221	0.56223	0.0071606	NA	NA	NA	0.56548	0.18724	0.86822	0.27334	NA	NA	0.48201	0.15313
EPS8L2	0.021145	0.86334	0.4378	0.12056	0.31716	0.14307	0.52953	0.43509	0.038412	0.025721	0.088389	NA	NA	NA	0.62235	0.50681	0.92548	0.10456	NA	NA	0.74754	0.29412
EPS8L3	0.10459	0.73058	0.41003	0.44638	0.099852	0.63291	0.079316	0.05324	0.18554	0.12108	0.016435	NA	NA	NA	0.39069	0.29521	0.25599	0.74549	NA	NA	0.99262	0.76142
EPSTI1	0.29151	0.12642	0.59535	0.061229	0.97738	0.40478	0.0038756	0.74027	0.033535	0.013774	0.0056543	NA	NA	NA	0.27848	0.58939	0.8887	0.31709	NA	NA	0.32535	0.20395
EPT1	0.75766	0.0017567	0.21714	0.70016	0.87932	0.83242	0.73011	0.076294	0.97466	0.03116	0.84515	NA	NA	NA	0.57485	0.0013326	0.7511	0.30694	NA	NA	0.010053	0.16778
EPX	0.20361	0.4392	0.18772	0.080372	0.034698	0.62232	0.88636	0.52006	0.66111	0.24253	0.90869	NA	NA	NA	0.32713	0.13349	0.775	0.12744	NA	NA	0.71141	0.85353
EPYC	0.0067111	0.64709	0.11545	0.17259	0.93939	0.8463	0.44755	0.96591	0.0095094	0.21934	0.75953	NA	NA	NA	0.12439	0.69052	0.66506	0.24482	NA	NA	0.68225	0.0069064
EQTN	0.47963	0.63989	0.44594	0.75707	0.009442	0.27675	0.42633	0.30577	0.22216	0.92177	0.91012	0.36865	0.58272	0.040336	0.61142	0.12115	0.61907	0.79838	NA	NA	0.92151	0.75525
ERAL1	0.87903	0.0084039	0.040461	0.81641	0.30227	0.54868	0.72265	0.03409	0.025851	0.35396	0.38805	NA	NA	NA	0.95358	0.019139	0.93368	0.012777	NA	NA	0.58807	0.77173
ERAP1	0.79018	0.26986	0.06389	0.85883	0.11942	0.76773	0.88413	0.95134	0.13818	0.16848	0.15168	0.0084856	1.4483e-05	0.38092	0.00028604	0.0037457	0.23835	0.12042	NA	0.99355	0.48125	0.061376
ERAP2	0.48317	NA	NA	0.80849	0.0046442	NA	0.4677	NA	NA	NA	0.59602	NA	NA	NA	NA	NA	0.37352	0.95344	NA	0.22084	0.34985	0.1269
ERAS	0.16739	0.70836	0.97091	0.32624	0.075107	0.68899	0.066866	0.0015616	0.92038	0.087066	0.34797	NA	NA	NA	0.77808	0.1949	0.89802	0.63071	NA	NA	0.33574	0.087097
ERBB2	0.98699	0.30242	0.085302	0.51948	0.14053	0.029124	0.99856	0.3306	0.28199	0.23111	0.59679	0.2298	0.46164	0.26909	0.0074019	0.0036284	0.12506	0.16347	NA	NA	0.63904	0.94226
ERBB2IP	0.33987	NA	NA	0.023632	0.0036736	NA	0.32841	NA	NA	NA	0.88056	NA	NA	NA	NA	NA	0.69288	0.087063	NA	NA	0.061568	0.58719
ERBB3	0.96116	0.017064	0.28762	0.85234	0.058284	0.19139	0.12023	0.50753	0.56693	0.26907	0.9524	0.4851	0.40216	0.23806	0.41913	0.16155	0.72398	0.33998	NA	NA	0.93139	0.49494
ERBB4	0.034792	0.9587	0.040926	0.41558	0.69878	0.65398	0.44516	0.2188	0.47149	0.73909	0.53363	NA	NA	NA	0.39803	0.58939	0.12734	0.72782	NA	NA	0.67195	0.6511
ERBIN	NA	0.0058314	0.65031	NA	NA	0.46587	NA	0.55375	0.88099	0.21791	NA	0.33907	0.1688	0.91872	0.049916	0.42084	NA	NA	NA	NA	NA	NA
ERC1	0.01194	NA	NA	0.48749	0.76558	0.084381	0.247	NA	NA	NA	0.86816	0.75138	0.98887	0.72573	NA	0.030255	0.47174	0.56529	NA	NA	0.72518	0.75098
ERC2	0.77205	0.96997	0.81953	0.23828	0.16452	0.1044	0.0032013	0.11735	0.22978	0.90901	0.26909	NA	NA	NA	0.97336	0.10522	0.62603	0.60564	NA	NA	0.37456	0.76289
ERCC1	0.72882	0.23677	0.33059	0.038426	0.30327	0.52981	0.46021	0.28043	0.033535	0.14633	0.2207	NA	NA	NA	0.54517	0.28812	0.014269	0.64299	NA	NA	0.78155	0.77481
ERCC2	0.85956	0.60166	0.7643	0.59161	0.18997	0.54546	0.086752	0.83433	0.5977	0.92556	0.43946	NA	NA	NA	0.35087	0.99797	0.29199	0.00064323	NA	NA	0.00066642	0.15813
ERCC3	0.52936	0.28553	0.45866	0.047531	0.97345	0.88003	0.35517	0.48854	0.28199	0.54275	0.94062	0.91406	0.94962	0.44155	0.77362	0.062645	0.3726	0.03487	NA	NA	0.0032601	0.61187
ERCC4	0.85704	0.17756	0.39007	0.027244	0.29883	0.90407	0.70322	0.16505	0.22978	0.33169	0.98869	NA	NA	NA	0.031317	0.1285	0.37206	0.092979	NA	NA	0.50571	0.77968
ERCC5	0.094351	0.57873	0.0065025	0.033093	0.21178	0.87006	0.64671	0.034755	0.33346	0.28148	NA	NA	NA	NA	0.18929	0.41008	0.51768	0.58704	NA	NA	0.40455	0.704
ERCC6	0.91072	0.58706	0.16415	0.84761	0.33727	0.25158	0.12845	0.55811	0.92038	0.85705	0.21944	NA	NA	NA	0.21055	0.45194	0.92198	0.18071	NA	NA	0.77118	NA
ERCC6-PGBD3	0.096001	NA	NA	0.58268	0.0017231	NA	0.11823	NA	NA	NA	0.83166	NA	NA	NA	NA	NA	0.35054	0.06247	NA	NA	0.97668	NA
ERCC6L	0.95071	0.1827	0.88318	0.0079619	0.98873	0.4366	0.6322	0.13334	0.013855	0.023923	0.19857	0.67059	0.066777	0.54099	0.98707	0.74769	0.60831	0.0020624	NA	NA	0.91415	0.048688
ERCC6L2	0.80049	0.068805	0.030709	0.014701	0.0041329	0.96732	0.99622	0.10549	0.92038	0.91911	0.99365	NA	NA	NA	0.19584	0.83053	0.40141	0.94314	NA	NA	0.32893	0.78903
ERCC8	0.0082517	0.94501	0.39862	0.19317	0.16208	0.37322	0.7674	0.044738	0.98035	0.11148	0.8621	NA	NA	NA	0.09866	0.21539	0.26825	0.36104	NA	NA	0.069243	0.58443
EREG	0.22226	0.61883	0.50957	0.95996	0.018968	0.059769	0.21848	0.12545	0.11795	0.47954	0.073693	0.77092	0.63649	0.1231	0.27571	0.018764	0.0014255	0.60164	NA	NA	0.70445	0.582
ERF	0.061452	0.38559	0.8092	0.012515	0.088942	0.41647	1	0.5515	0.28199	0.90901	0.31121	NA	NA	NA	0.53585	0.17155	0.49317	0.30287	NA	NA	0.43621	0.052976
ERG	0.08114	0.16207	0.1453	0.84521	0.0079999	0.26103	0.059967	0.085511	0.22978	0.011255	0.98133	NA	NA	NA	0.0039136	0.34625	0.23003	0.96208	NA	NA	0.40362	0.43251
ERGIC1	0.46197	0.082644	0.9345	0.073671	0.17794	0.33875	0.95615	0.14881	0.34826	0.97441	0.11348	NA	NA	NA	0.33511	0.14338	0.91772	0.88541	NA	NA	0.50448	0.17026
ERGIC2	0.27683	0.64656	0.012938	0.30382	0.15022	0.049024	0.073436	0.078968	0.65569	0.46584	0.902	NA	NA	NA	0.18855	0.20914	0.16089	0.81224	NA	NA	0.92127	0.0096625
ERGIC3	0.52256	0.33777	0.87064	0.045135	0.13406	0.43325	0.051521	0.37324	0.34826	0.033318	0.0020162	NA	NA	NA	0.45156	0.95815	0.016559	0.3058	NA	NA	0.92024	0.15579
ERH	0.99887	0.30353	0.69167	0.092792	0.08559	0.19517	0.91691	0.95134	0.52649	0.23538	0.040486	NA	NA	NA	NA	0.18653	0.53453	7.5996e-05	NA	NA	0.40712	0.1251
ERI1	0.16383	0.56197	0.23467	0.7857	0.96041	0.00073286	0.58089	0.27008	0.18634	0.20374	0.57816	NA	NA	NA	0.00087322	0.62003	0.13143	0.019132	NA	NA	0.44417	0.20027
ERI2	0.32178	0.45319	0.94272	0.66102	0.75827	0.32743	0.059675	0.66883	0.7045	0.94173	0.12917	NA	NA	NA	0.89261	0.32695	0.88362	0.72799	NA	NA	0.76369	0.19206
ERI3	0.80918	0.24698	0.41758	0.41394	0.21351	0.39462	0.32328	0.076072	0.27602	0.050599	0.77107	0.78856	0.70338	0.85728	0.53781	0.042375	0.12842	0.96456	NA	NA	0.78024	0.77221
ERICH1	0.0040107	0.037055	0.5893	0.23307	0.99595	0.16352	0.8629	0.23208	0.30501	0.019655	0.020557	NA	NA	NA	0.1395	0.50681	0.29372	0.12493	NA	NA	0.77465	0.60071
ERICH2	0.20218	0.345	0.96926	0.11712	0.022299	0.20334	NA	0.19709	0.33571	0.19774	0.056838	NA	NA	NA	0.28415	0.37186	NA	NA	NA	NA	0.50981	NA
ERICH3	NA	0.032444	0.22288	NA	NA	NA	0.733	0.21507	0.35231	0.9785	0.71796	NA	NA	NA	0.12609	NA	0.94737	0.64865	NA	NA	0.30205	NA
ERICH4	NA	0.98098	0.48191	NA	NA	NA	0.63072	0.44579	0.12431	0.33555	0.018646	NA	NA	NA	0.46999	NA	0.99268	0.42134	NA	NA	0.54436	NA
ERICH5	NA	0.95734	0.19182	NA	NA	0.056844	0.33419	0.3841	0.13818	0.80053	0.10729	NA	NA	NA	0.94198	0.53181	0.045823	0.3715	NA	NA	0.91442	NA
ERICH6	NA	NA	NA	NA	NA	NA	0.87151	NA	NA	NA	0.14114	NA	NA	NA	NA	NA	0.34867	0.73503	NA	NA	0.9627	NA
ERICH6B	NA	NA	NA	NA	NA	NA	0.59308	NA	NA	NA	0.0012391	NA	NA	NA	NA	NA	0.60629	0.15217	NA	NA	0.82008	NA
ERLEC1	0.96046	0.97381	0.06006	0.049922	0.086758	0.74636	0.47952	0.0031857	0.97546	0.52097	0.8267	NA	NA	NA	0.74582	0.20801	0.51495	0.021894	NA	NA	0.061801	0.17335
ERLIN1	0.48313	0.10368	0.19572	0.097199	0.29356	0.02737	0.54946	0.8159	0.34826	0.20416	0.015651	NA	NA	NA	0.80567	0.027092	0.88026	0.078682	NA	NA	0.14345	0.078127
ERLIN2	0.50067	0.047345	0.060093	0.54949	0.89397	0.9023	0.36565	0.63606	0.39461	0.45857	0.0074593	0.22111	0.56022	0.99083	NA	0.009919	0.20551	0.25564	NA	NA	0.9053	0.17045
ERMAP	0.15965	0.92763	0.38249	0.96785	0.79448	0.55093	0.92057	0.2081	0.21713	0.066029	0.32419	NA	NA	NA	0.27119	0.61219	0.079314	0.59025	NA	NA	0.48866	0.75351
ERMARD	0.1618	0.6822	0.27777	0.86476	0.66728	NA	0.99318	0.10316	0.87629	0.46584	0.95201	NA	NA	NA	0.10352	0.026486	0.61814	0.041166	NA	NA	0.72674	0.57856
ERMN	0.49206	0.68498	0.32915	0.047131	0.91733	0.0087299	0.86755	0.19287	0.0025541	0.19639	0.053265	NA	NA	NA	0.10539	0.51665	0.039953	0.86399	NA	NA	0.070548	0.97862
ERMP1	0.080065	0.06843	0.28313	0.44246	0.64224	0.90163	0.33707	0.97888	0.35231	0.45655	0.94559	NA	NA	NA	NA	0.050855	0.001102	0.27525	NA	NA	0.92639	0.58251
ERN1	0.0062668	0.047585	0.014625	0.14857	0.0026043	0.11181	0.12992	0.74027	0.97703	0.78632	0.053034	0.19917	0.56712	0.99976	0.9925	0.1949	0.91537	0.050249	NA	NA	0.13296	0.40626
ERN2	0.0017182	0.28976	0.58951	0.49439	0.15737	0.16471	0.30442	0.10131	0.98199	0.74583	0.11438	NA	NA	NA	0.14282	0.20187	0.053546	0.54836	NA	NA	0.46643	0.6704
ERO1A	NA	0.063038	0.56271	NA	NA	0.14858	NA	0.024894	0.020747	0.41721	NA	NA	NA	NA	0.00018068	0.23731	NA	NA	NA	NA	NA	NA
ERO1L	0.14711	NA	NA	0.023705	0.74152	NA	0.083163	NA	NA	NA	0.69735	NA	NA	NA	NA	NA	0.8186	0.6274	NA	NA	0.28965	0.48357
ERO1LB	0.70484	0.66316	0.08651	0.49541	0.25486	0.22316	0.8492	0.03825	0.065246	0.43721	0.52639	NA	NA	NA	0.20918	0.89864	0.66709	0.25039	NA	NA	0.89305	0.99873
ERP27	0.53454	0.25058	0.73112	0.09404	0.40862	0.8906	0.2703	0.94109	0.83505	0.16786	0.23498	NA	NA	NA	0.061969	0.14171	0.59646	0.44807	NA	NA	0.05334	0.01332
ERP29	0.35195	0.82005	0.0082807	0.073261	0.0019928	0.0040855	0.1418	0.1606	0.65569	0.46584	0.054078	0.27749	0.1967	0.17761	0.93241	0.1949	0.28923	0.11393	NA	0.60254	0.1494	0.7516
ERP44	0.94455	0.044584	0.1545	0.00015517	3.2904e-08	0.97803	0.9632	0.58212	0.20417	0.47954	0.43195	0.86053	0.047792	0.16542	0.84053	0.050633	0.1076	0.22401	NA	0.051475	0.56808	0.56795
ERRFI1	0.66868	0.9886	0.16025	0.52129	0.4584	0.79192	0.33355	0.50301	0.6223	0.39477	0.78852	0.44911	0.060121	0.59224	0.057884	0.26934	0.72993	0.12928	NA	NA	0.68985	0.023001
ERV3-1	0.17355	NA	NA	0.97173	0.065234	NA	0.34219	NA	NA	NA	0.77886	NA	NA	NA	NA	NA	0.92331	0.60559	NA	NA	0.20258	0.96479
ERVFRD-1	0.29875	NA	NA	0.84155	0.55699	NA	0.64491	NA	NA	NA	0.21452	NA	NA	NA	NA	NA	0.188	0.99853	NA	NA	0.069787	0.46283
ERVMER34-1	0.0083696	NA	NA	0.29295	0.53835	NA	NA	NA	NA	NA	0.26085	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.085411	0.44992
ERVV-1	0.020181	NA	NA	0.13816	0.000449	NA	0.94854	NA	NA	NA	0.014279	NA	NA	NA	NA	NA	0.99868	0.97208	NA	NA	0.83388	0.179
ERVV-1;ERVV-2	NA	NA	NA	NA	NA	NA	0.25691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERVV-1;ERVV-2;ERVV-1;ERVV-2	NA	NA	NA	NA	NA	NA	0.24352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERVV-2	0.019035	NA	NA	0.1259	0.4709	NA	0.742	NA	NA	NA	0.22029	NA	NA	NA	NA	NA	0.99967	0.58589	NA	NA	0.45721	0.024811
ERVW-1	0.1537	NA	NA	0.47362	0.053068	NA	0.05492	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.23523	0.22017	NA	NA	0.44498	0.20524
ESAM	0.69664	0.80969	0.64989	0.0646	0.99986	0.089553	0.090304	0.41764	0.83505	0.055825	0.46586	NA	NA	NA	0.46883	0.057862	0.925	0.89682	NA	NA	0.029141	0.019752
ESCO1	0.20836	0.90444	0.93486	0.20012	0.0097678	0.82334	0.76753	0.45195	0.12306	0.51616	0.65438	NA	NA	NA	0.39179	0.64187	0.0077208	0.58905	NA	NA	0.78742	0.4961
ESCO2	0.015558	0.13109	0.70996	0.71162	0.12154	0.051314	0.049075	0.41378	0.0031889	0.13122	0.96963	NA	NA	NA	0.054526	0.46939	0.0050236	0.062519	NA	NA	0.89526	0.46624
ESD	0.57548	0.45299	0.010011	0.27189	0.10197	0.40147	0.28264	0.13825	0.5866	0.79328	0.98075	0.13872	0.14421	0.85309	0.29139	0.28812	0.31126	0.63066	NA	NA	0.17482	0.1872
ESF1	0.98437	0.35091	0.042838	0.11725	0.21476	0.10036	0.18817	0.89421	0.98609	0.42305	0.32443	NA	NA	NA	0.046992	0.020293	0.00031374	0.052584	NA	NA	0.081043	0.51599
ESM1	0.071268	0.12228	0.47889	0.74536	0.46852	0.85472	0.81952	0.056746	0.059668	0.012126	0.99945	NA	NA	NA	0.16922	0.014768	0.098218	0.46336	NA	NA	0.7945	0.10194
ESPL1	0.99852	0.48576	0.17469	0.58839	0.069378	0.54881	0.7093	0.681	0.92038	0.54275	0.00016901	NA	NA	NA	0.21005	0.22301	0.22208	0.0011148	NA	NA	0.27655	0.043114
ESPN	0.5501	0.25838	0.19665	0.026265	0.27943	0.28558	0.92994	0.3626	0.7045	0.9102	0.0011905	NA	NA	NA	0.047049	0.32883	0.14557	0.036436	NA	NA	0.010647	0.7835
ESPNL	0.11875	0.62057	0.097917	0.74282	0.17142	0.41949	0.45613	0.06037	0.90286	0.18127	0.072908	NA	NA	NA	0.8025	0.082669	0.22158	0.67772	NA	NA	0.63047	0.83595
ESR1	0.0094889	0.52476	0.13332	0.56858	0.003913	0.53117	0.96537	0.92404	0.55176	0.19143	0.53208	NA	NA	NA	0.17408	0.80541	0.93555	0.48104	NA	NA	0.91726	0.25756
ESR2	0.15624	0.86815	0.037606	0.35159	0.17542	0.43561	0.96928	0.9089	0.12798	0.87679	0.020398	NA	NA	NA	0.39324	0.40098	0.43658	0.9963	NA	NA	0.46407	0.53586
ESRP1	0.39912	0.26603	0.090255	0.18055	0.010196	0.66207	0.63197	0.29862	0.22364	0.75386	0.37545	NA	NA	NA	0.72668	0.081557	0.8471	0.59001	NA	NA	0.85546	0.9125
ESRP2	0.04365	0.40059	0.13944	0.52825	0.9795	0.47303	0.14467	0.53217	0.24545	0.16415	0.58695	NA	NA	NA	0.038976	0.13643	0.80532	0.97215	NA	NA	0.56089	0.76607
ESRRA	0.26304	0.026205	0.1438	0.043396	0.97944	0.40679	0.95269	0.15144	0.085137	0.050599	0.95929	NA	NA	NA	0.0058236	0.10191	0.91731	0.10271	NA	NA	0.62901	0.44308
ESRRB	0.068222	NA	NA	0.22618	0.4339	0.046423	0.057235	NA	NA	NA	0.73777	NA	NA	NA	NA	0.7023	0.0014255	0.51699	NA	NA	0.098954	0.86103
ESRRG	0.035222	0.12001	0.81874	0.77299	0.65113	0.14255	0.35571	0.10857	0.03812	0.094445	0.18348	NA	NA	NA	0.62377	0.7285	0.12316	0.022223	NA	NA	0.62403	0.17142
ESS2	NA	0.99506	0.68889	NA	NA	0.95158	NA	0.90362	0.015604	0.082756	NA	NA	NA	NA	0.08389	0.69816	NA	NA	NA	NA	NA	NA
ESX1	0.00096923	0.9708	0.92532	0.37769	0.0018367	0.84584	0.062064	0.047748	0.4823	0.099548	0.30621	NA	NA	NA	0.82584	0.037763	0.44196	0.37313	NA	NA	0.63703	0.61157
ESYT1	0.025321	0.86669	0.09444	0.17918	0.1015	0.89144	0.25832	0.22019	0.090154	0.13389	0.89492	0.20639	0.186	0.04081	0.99453	0.29016	0.18197	0.88447	NA	NA	0.94294	0.089147
ESYT2	0.17151	0.7761	0.6074	0.093915	0.89677	0.30434	0.17716	0.40634	0.6834	0.56223	0.36987	0.48997	0.18702	0.019503	0.67156	0.32814	0.24003	0.060697	NA	NA	0.060019	0.67788
ESYT3	0.52576	0.58336	0.29752	0.11288	0.075158	0.25395	0.78335	0.19709	0.96951	0.99917	0.18603	NA	NA	NA	0.24677	0.46918	0.031968	0.64422	NA	NA	0.21235	0.5331
ETAA1	0.54715	0.00083849	0.011592	0.38479	0.97143	0.24935	0.067565	0.0153	0.07089	0.28148	0.58695	NA	NA	NA	0.31563	0.24332	0.080873	0.38718	NA	NA	0.82287	0.84529
ETF1	0.9617	0.18415	0.14577	0.98592	0.41524	0.048548	0.021157	0.98753	0.10359	0.037093	0.00031705	NA	NA	NA	NA	0.36237	0.025354	0.008489	NA	NA	0.035224	0.80373
ETFA	0.084918	0.92795	0.025052	0.49615	0.33873	0.11575	0.31935	0.1606	0.083684	0.31805	0.86829	NA	NA	NA	0.14765	0.17224	0.044893	0.51328	NA	NA	0.77495	0.38169
ETFB	0.086006	0.61532	0.1096	0.94816	0.22939	0.0091223	0.8372	0.20447	0.10872	0.30453	0.29051	NA	NA	NA	0.9589	0.43434	0.30489	0.74863	NA	NA	0.65475	0.23761
ETFDH	0.077792	0.8521	0.51554	0.99409	0.88213	0.92215	0.93806	0.18367	0.66352	0.6561	0.60916	NA	NA	NA	0.65689	0.10846	0.039773	0.71772	NA	NA	0.77154	0.25639
ETHE1	0.20531	0.031864	0.11654	0.96073	0.23072	0.46123	0.98257	0.79169	0.13895	0.26907	0.021741	NA	NA	NA	0.56201	0.83154	0.20316	0.49285	NA	NA	0.79523	0.50075
ETNK1	0.0033922	0.00102	0.91087	0.19916	0.99508	0.045888	0.15009	0.0035725	0.89043	0.58349	0.2927	0.010022	0.015959	0.67628	0.06092	0.072289	0.010685	0.93968	NA	NA	0.3101	0.094323
ETNK2	0.0042525	0.082644	0.093894	0.64938	0.93061	0.023403	0.095993	0.085888	0.07167	0.010867	0.44931	NA	NA	NA	0.98967	0.45358	0.89977	0.90971	NA	NA	0.53254	0.033909
ETNPPL	0.040503	0.41876	0.74962	0.4007	0.088698	0.95169	0.14936	0.00093	0.37979	0.038194	0.20084	NA	NA	NA	0.81363	0.76548	0.11621	0.75866	NA	NA	0.032416	0.60867
ETS1	0.050423	0.012796	0.26888	0.3563	0.099953	0.20497	2.6198e-09	0.091248	0.21509	0.010867	0.88324	0.76534	0.99212	0.79363	0.061044	0.43921	0.27029	0.63272	NA	NA	0.18993	0.77821
ETS2	0.75766	0.2508	0.012616	0.24107	0.71536	0.041589	0.17116	0.54674	0.21509	0.45455	0.5335	NA	NA	NA	0.029691	0.035996	0.67628	0.46914	NA	NA	0.62576	0.63246
ETV1	0.57656	0.070999	0.054329	0.31004	0.68327	0.50068	0.78815	0.26901	0.72414	0.99013	0.93525	NA	NA	NA	0.51497	0.11044	0.45118	0.061817	NA	NA	0.56377	0.60387
ETV2	0.63813	0.6752	0.05213	0.038028	0.19491	0.46634	0.99999	0.88108	0.24104	0.33555	0.22504	NA	NA	NA	0.6391	0.39531	0.054247	0.55941	NA	NA	0.74771	0.69502
ETV3	0.82356	0.98648	0.41451	0.75297	0.82368	0.80811	0.9256	0.049943	0.89911	0.79328	0.72753	NA	NA	NA	0.78353	0.027634	0.48161	0.94102	NA	NA	0.73626	0.7454
ETV3L	0.46016	NA	NA	0.019721	0.97022	NA	0.93781	NA	NA	NA	0.018666	NA	NA	NA	NA	NA	0.34548	0.83512	NA	NA	0.16579	0.81141
ETV4	0.11437	0.9444	0.58531	0.1505	0.14364	0.38644	0.020127	0.99529	0.63166	0.85435	0.1626	NA	NA	NA	0.95139	0.77321	0.010989	0.64717	NA	NA	0.82746	0.7592
ETV5	0.49206	0.73686	0.011194	0.071767	0.79937	0.11496	0.36286	0.046222	0.029078	0.35396	0.78967	NA	NA	NA	0.58175	0.27759	0.4195	0.016793	NA	NA	0.73062	0.81229
ETV6	0.58736	0.17276	0.67558	0.035242	0.0071902	0.23724	0.00075895	0.03409	0.4823	0.35396	0.24437	NA	NA	NA	0.073654	0.69052	0.39959	0.66548	NA	NA	0.80485	0.57367
ETV7	0.13377	NA	NA	0.06436	0.11481	NA	0.80813	NA	NA	NA	0.33894	NA	NA	NA	NA	NA	0.10421	0.15249	NA	NA	0.33805	0.87317
EVA1A	0.045089	0.95412	0.95077	0.1838	0.20508	0.0001775	0.71262	0.18994	0.26153	0.062508	0.031796	NA	NA	NA	0.65651	0.2712	0.53273	0.063729	NA	NA	0.92351	0.8952
EVA1B	0.82068	0.66965	0.0080961	0.33044	0.99602	0.1828	0.11789	0.25514	0.99453	0.28148	0.048367	NA	NA	NA	0.75492	0.092019	0.94229	0.38686	NA	NA	0.72868	0.31452
EVA1C	0.04158	0.24462	0.91744	0.98426	0.47276	0.12708	0.82317	0.1152	0.065246	0.02914	0.87274	NA	NA	NA	0.075351	0.40933	0.22264	0.0029187	NA	NA	0.036842	0.69396
EVC	0.021841	0.18726	0.11524	0.65026	0.95954	0.80141	0.84797	0.79169	0.75987	0.22397	0.45645	0.67628	0.67477	0.21087	0.30481	0.89864	0.38827	0.59195	NA	NA	0.64198	0.17572
EVC2	0.26445	0.85747	0.13623	0.59158	0.98418	0.11625	0.54102	0.67507	0.31567	0.23994	0.68997	0.63485	0.95452	0.8241	0.45807	0.60419	0.036386	0.3391	NA	NA	0.14032	0.023863
EVI2A	0.27666	0.092973	0.086659	0.10717	0.64283	0.34173	0.52772	0.25887	0.46019	0.73909	0.48232	NA	NA	NA	0.17202	0.12309	0.11264	0.091086	NA	0.43585	0.51305	0.24897
EVI2B	0.82629	0.50547	0.017519	0.99911	0.011575	0.27237	0.57591	0.042393	0.98222	0.75386	0.15091	NA	NA	NA	0.65957	0.39037	0.055857	0.15547	NA	NA	0.82204	0.74932
EVI5	0.12472	0.29634	0.034179	0.021338	0.21028	0.93276	0.63567	0.28196	0.48263	0.1195	0.72993	NA	NA	NA	0.83027	0.030344	0.44319	0.86794	NA	NA	0.9857	0.5605
EVI5L	0.30147	0.80457	0.83508	0.0042575	0.21137	0.87251	0.058354	0.19287	0.03812	0.43806	0.73924	NA	NA	NA	0.44244	0.29655	0.52349	0.97549	NA	NA	0.084473	0.10245
EVL	0.76634	0.086013	0.10865	0.14182	0.22833	0.35516	0.098676	0.5168	0.41417	0.41721	0.67955	NA	NA	NA	0.98947	0.30188	0.48099	0.9249	NA	NA	0.53313	0.21351
EVPL	0.69093	0.34955	0.56844	0.10387	0.68151	0.42764	0.62732	0.088008	0.41417	0.43806	0.17001	NA	NA	NA	0.8652	0.042128	0.14192	0.41804	NA	NA	0.62277	0.13225
EVPLL	0.43544	NA	NA	0.051957	0.34254	NA	0.086489	NA	NA	NA	0.79251	NA	NA	NA	NA	NA	0.63107	0.013591	NA	NA	0.72206	0.44818
EVX1	0.31207	0.61786	0.93963	0.058117	0.005225	0.79727	0.13164	0.88108	0.39461	0.62015	0.29567	NA	NA	NA	0.38037	0.049344	0.72669	0.99526	NA	NA	0.30493	0.034932
EVX2	0.46016	NA	NA	0.12838	0.23918	NA	0.27081	NA	NA	NA	0.13157	NA	NA	NA	NA	NA	0.29786	0.2338	NA	NA	0.64208	0.82085
EWSR1	0.99959	0.17661	0.51657	0.76678	0.14733	0.86001	0.060755	0.68672	0.7045	0.21698	0.89815	0.19833	0.46849	0.77862	0.026899	0.20519	0.025253	0.030027	NA	NA	0.0085358	0.5169
EXD1	0.31207	0.93666	0.26541	0.05893	0.21671	0.52985	0.28537	0.17392	0.33346	0.97678	0.91465	NA	NA	NA	0.054001	0.6642	0.071858	0.99321	NA	NA	0.063405	0.20532
EXD2	0.37799	0.95541	0.6022	0.01645	0.43654	0.99988	0.042454	0.033072	0.20417	0.47954	0.015534	NA	NA	NA	0.083145	0.84367	0.49881	0.97802	NA	NA	0.23672	0.013605
EXD3	0.11942	NA	NA	0.027203	0.95616	NA	0.61712	NA	NA	NA	0.67387	NA	NA	NA	NA	NA	0.15731	0.13138	NA	NA	0.44757	0.11988
EXO1	0.77823	0.16539	0.037177	0.52364	0.40443	0.21526	0.89645	0.48854	0.64963	0.58233	0.3545	0.029304	0.62725	0.76167	0.53269	0.64308	0.013872	0.21049	NA	NA	0.87904	0.027005
